"velocity:0","velocity:1","velocity:2","density","Cell Type"
-0.000115,5e-06,-0.000241,1.0004,12
-2.3e-05,6e-06,-0.000126,1.0004,12
-5.1e-05,-2.2e-05,0.000258,0.99963,12
-0.000269,-2.3e-05,0.000526,0.99958,12
-0.000548,-1.6e-05,0.000552,0.99963,12
-0.000779,-9e-06,0.0004,0.99975,12
-0.000908,-3e-06,0.000146,0.99991,12
-0.000909,3e-06,-0.000141,1.0001,12
-0.000782,8e-06,-0.000397,1.0002,12
-0.00055,1.5e-05,-0.000551,1.0004,12
-0.000271,2.2e-05,-0.000527,1.0004,12
-5.1e-05,2.1e-05,-0.000258,1.0004,12
-6.9e-05,-2.6e-05,0.00032,0.99967,12
-0.00036,-3.2e-05,0.000677,0.9996,12
-0.000731,-2.3e-05,0.000724,0.99964,12
-0.00104,-1.3e-05,0.000529,0.99975,12
-0.001211,-4e-06,0.000193,0.99991,12
-0.001212,4e-06,-0.00019,1.0001,12
-0.001043,1.3e-05,-0.000528,1.0002,12
-0.000734,2.2e-05,-0.000724,1.0004,12
-0.000362,3e-05,-0.000679,1.0004,12
-6.9e-05,2.6e-05,-0.00032,1.0003,12
-7.8e-05,-1.9e-05,0.000348,0.99971,12
-0.000407,-2.5e-05,0.000751,0.99962,12
-0.000827,-1.9e-05,0.000811,0.99964,12
-0.001178,-1.1e-05,0.000596,0.99975,12
-0.001372,-4e-06,0.000217,0.99991,12
-0.001373,4e-06,-0.000215,1.0001,12
-0.001181,1.1e-05,-0.000595,1.0002,12
-0.000829,1.8e-05,-0.000812,1.0004,12
-0.000409,2.4e-05,-0.000754,1.0004,12
-7.8e-05,1.8e-05,-0.000349,1.0003,12
-8.1e-05,-7e-06,0.000358,0.99972,12
-0.000425,-1e-05,0.000781,0.99963,12
-0.000867,-8e-06,0.000846,0.99965,12
-0.001236,-5e-06,0.000623,0.99976,12
-0.001441,-1e-06,0.000227,0.99991,12
-0.001442,2e-06,-0.000226,1.0001,12
-0.001239,4e-06,-0.000624,1.0002,12
-0.000869,7e-06,-0.000848,1.0004,12
-0.000427,1e-05,-0.000783,1.0004,12
-8.2e-05,7e-06,-0.00036,1.0003,12
-8.1e-05,7e-06,0.000358,0.99972,12
-0.000425,1e-05,0.000781,0.99963,12
-0.000867,8e-06,0.000846,0.99965,12
-0.001236,5e-06,0.000623,0.99976,12
-0.001441,1e-06,0.000227,0.99991,12
-0.001442,-2e-06,-0.000226,1.0001,12
-0.001239,-4e-06,-0.000624,1.0002,12
-0.000869,-7e-06,-0.000848,1.0004,12
-0.000427,-1e-05,-0.000783,1.0004,12
-8.2e-05,-7e-06,-0.00036,1.0003,12
-7.8e-05,1.9e-05,0.000348,0.99971,12
